time,event
666.555854263,start_tone
673.55975663,timeout_tone
687.328121967,start_tone
689.780915792,lick
710.272424203,start_tone
712.217339306,lick
731.933689669,start_tone
738.921232077,lick
750.904961907,start_tone
753.190396153,lick
773.629224697,start_tone
779.960408758,lick
795.231530311,start_tone
795.79592889,lick
817.780793542,start_tone
819.899868207,lick
837.080064954,start_tone
842.002612561,lick
858.578330831,start_tone
861.772602789,lick
877.102564194,start_tone
877.641642837,lick
897.359833195,start_tone
904.145336112,lick
916.849064129,start_tone
917.213343212,lick
937.069333223,start_tone
939.149927985,lick
956.857603404,start_tone
961.619791415,lick
975.173837292,start_tone
976.221874653,lick
995.843105255,start_tone
998.058299678,lick
1014.002339538,start_tone
1016.194294019,lick
1036.162603747,start_tone
1036.231043575,lick
1055.91087403,start_tone
1057.266870616,lick
1078.727176588,start_tone
1079.269975221,lick
1098.564406646,start_tone
1099.506444274,lick
1120.036712587,start_tone
1122.609946109,lick
1139.106944577,start_tone
1141.445578689,lick
1161.015209421,start_tone
1161.082489251,lick
1179.752482248,start_tone
1180.718359816,lick
1201.199748253,start_tone
1204.554739806,lick
1220.454979776,start_tone
1227.458882143,timeout_tone
1239.354212196,start_tone
1242.360524627,lick
1261.27051702,start_tone
1263.96355024,lick
1282.075784641,start_tone
1289.079687008,timeout_tone
1302.178054032,start_tone
1303.035491873,lick
1321.434285552,start_tone
1328.43818792,timeout_tone
1340.757556904,start_tone
1347.761419272,timeout_tone
1363.609819372,start_tone
1367.478089633,lick
1385.468124342,start_tone
1388.081477763,lick
1405.685393443,start_tone
1408.450786481,lick
1427.926657449,start_tone
1429.420453688,lick
1448.030926835,start_tone
1448.089686687,lick
1470.394190534,start_tone
1477.398092901,timeout_tone
1489.869461503,start_tone
1496.87336387,timeout_tone
1510.844728696,start_tone
1514.999678236,lick
1529.474961793,start_tone
1529.901400719,lick
1549.914230335,start_tone
1551.971345156,lick
1571.525495927,start_tone
1575.00800716,lick
1592.363763465,start_tone
1592.710442592,lick
1613.897069253,start_tone
1614.147388623,lick
1635.659334465,start_tone
1642.050918374,lick
1658.164637806,start_tone
1658.78659624,lick
1680.383901867,start_tone
1680.823100761,lick
1701.948207577,start_tone
1702.359486542,lick
1724.182471601,start_tone
1725.662907873,lick
1746.147776301,start_tone
1753.151678668,timeout_tone
1767.107043534,start_tone
1767.935681448,lick
1787.193312966,start_tone
1790.172185466,lick
1807.267542427,start_tone
1813.54220663,lick
1828.478849026,start_tone
1829.078047517,lick
1849.94211499,start_tone
1850.34743397,lick
1872.704417684,start_tone
1873.118136643,lick
1891.729649787,start_tone
1897.654274871,lick
1909.893884057,start_tone
1911.189520795,lick
1932.497187151,start_tone
1936.759856419,lick
1952.146457682,start_tone
1952.662496383,lick
1972.528686368,start_tone
1979.532588736,timeout_tone
1993.348953952,start_tone
1995.968747356,lick
2014.097221716,start_tone
2021.101124083,timeout_tone
2035.985526611,start_tone
2042.989428978,timeout_tone
2054.640759645,start_tone
2061.644662012,timeout_tone
2076.576064421,start_tone
2078.613579291,lick
2099.353327077,start_tone
2101.917000623,lick
2120.34059424,start_tone
2126.553778598,lick
2143.20389668,start_tone
2143.656215541,lick
2164.977201863,start_tone
2165.059721656,lick
2184.535432624,start_tone
2185.095631214,lick
2204.586702143,start_tone
2205.798539092,lick
2225.513969457,start_tone
2226.202007725,lick
2247.78827338,start_tone
2250.905585532,lick
2269.92053766,start_tone
2271.941372572,lick
2290.821845039,start_tone
2292.844239948,lick
2311.50011298,start_tone
2311.613672694,lick
2329.693347177,start_tone
2332.216660824,lick
2350.80761402,start_tone
2354.020405932,lick
2370.170845272,start_tone
2377.174747639,timeout_tone
2390.322114539,start_tone
2390.325154531,lick
2410.486383774,start_tone
2417.490286141,timeout_tone
2432.54864823,start_tone
2436.464998371,lick
2454.911951929,start_tone
2458.43482306,lick
2474.941221503,start_tone
2479.171090854,lick
2492.956456149,start_tone
2496.073568301,lick
2511.444689603,start_tone
2515.409679621,lick
2529.647923775,start_tone
2535.412989261,lick
2550.164192123,start_tone
2550.648190905,lick
2570.850460044,start_tone
2572.251096518,lick
2588.921694548,start_tone
2592.520925487,lick
2610.898959219,start_tone
2613.657472274,lick
2632.424265027,start_tone
2637.360812599,lick
2653.69753147,start_tone
2656.830323583,lick
2675.681836122,start_tone
2677.500031545,lick
2694.154069617,start_tone
2694.568708573,lick
2716.920372301,start_tone
2723.924234668,timeout_tone
2736.298603515,start_tone
2738.308838454,lick
2756.490872679,start_tone
2760.178143396,lick
2777.41114001,start_tone
2784.415042378,timeout_tone
2795.776373774,start_tone
2796.984010734,lick
2815.369644447,start_tone
2815.919443063,lick
2834.136877199,start_tone
2837.422948926,lick
2853.499148453,start_tone
2853.992027212,lick
2871.675382692,start_tone
2873.92845702,lick
2891.347613166,start_tone
2894.931324144,lick
2912.064881009,start_tone
2916.0004711,lick
2930.246115236,start_tone
2930.936273498,lick
2948.635388939,start_tone
2951.93974062,lick
2968.438619083,start_tone
2973.40876657,lick
2987.459891195,start_tone
2988.4113288,lick
3005.62212547,start_tone
3007.380241044,lick
3024.389358222,start_tone
3031.393260589,timeout_tone
3043.753589471,start_tone
3048.720256967,lick
3065.305895212,start_tone
3066.655771813,lick
3085.589164147,start_tone
3090.058792894,lick
3103.806398283,start_tone
3107.894747991,lick
3125.666663248,start_tone
3127.030859814,lick
3144.89493484,start_tone
3151.568198039,lick
3165.16420381,start_tone
3167.469958005,lick
3183.267438234,start_tone
3183.272598221,lick
3205.779701557,start_tone
3208.709174182,lick
3224.240975079,start_tone
3230.546079206,lick
3242.984207892,start_tone
3245.414401774,lick
3264.325474163,start_tone
3270.584978405,lick
